id,yield
15000,7730.181937307228
15001,6150.4517451609
15002,4851.984010446247
15003,6728.683028743754
15004,5592.744348414084
15005,5378.675326966418
15006,5553.284162936326
15007,3810.4110392982248
15008,5694.067254248353
15009,5757.844794243518
15010,4191.398704720362
15011,8083.404354901152
15012,5309.655498226528
15013,6124.161754121381
15014,7547.246812315631
15015,5310.2737952474845
15016,5446.470663156049
15017,5662.368559546829
15018,7031.813678269661
15019,5844.770797838504
15020,7279.109613566069
15021,7297.639053286911
15022,6204.468022550957
15023,6346.398194384888
15024,7402.39178501219
15025,5817.8338293111565
15026,3641.0366617039745
15027,7534.275769355062
15028,7065.965025429304
15029,7494.896876492955
15030,8266.570926143184
15031,7184.747118374494
15032,6075.881446130775
15033,5836.330948289107
15034,5267.1389858892335
15035,6371.5008300475665
15036,6410.317482659409
15037,7599.554017145335
15038,5701.509005623922
15039,8525.740721817256
15040,6521.517173388568
15041,6868.5746248484875
15042,5528.89724668681
15043,4681.268797809512
15044,5012.627381895048
15045,6798.921369227978
15046,8202.037441266111
15047,4051.681714865559
15048,6239.765685474044
15049,7404.692981061787
15050,3045.1095556958962
15051,6362.018257498507
15052,6627.107313109257
15053,5479.56677788115
15054,5625.717813592922
15055,5742.047467570431
15056,6055.077821646768
15057,6609.221310697155
15058,6595.134032102012
15059,6798.516107939761
15060,6561.893159664399
15061,6834.011790984093
15062,5297.261785459733
15063,5292.2429478468775
15064,6468.0405163307905
15065,7606.278675704895
15066,5732.663672298865
15067,5424.995904599486
15068,3713.361272130681
15069,6465.516054333811
15070,7550.999437959285
15071,6685.994009368961
15072,3357.18486031302
15073,3017.845231876234
15074,6909.432436420767
15075,4931.345568762542
15076,4026.733023180902
15077,7056.884351724167
15078,6091.809178726063
15079,3583.0013034851745
15080,7598.48711953385
15081,4221.4253805563485
15082,4689.484813539362
15083,5683.455417670196
15084,5606.734439075508
15085,6690.478471161624
15086,6092.889766284637
15087,6354.390007644003
15088,5771.428752367729
15089,6526.058411017643
15090,6819.044864351835
15091,6425.811932355856
15092,6260.38153205845
15093,4062.4186168632414
15094,5936.993207336866
15095,7172.300039091725
15096,6887.497988520033
15097,5862.849823912853
15098,4331.225954516594
15099,4111.810033141102
15100,7196.803334853264
